Precision at rank 5 and 20 for BM25 on noise-induced queries:

Query_ID   Precision@05 Precision@20
1          0.4          0.1         
2          0.6          0.15        
3          0.0          0.1         
4          0.0          0.0         
5          0.0          0.0         
6          0.0          0.0         
7          0.6          0.2         
8          0.2          0.1         
9          0.0          0.05        
10         0.8          0.65        
11         0.6          0.25        
12         0.0          0.05        
13         0.8          0.3         
14         0.6          0.25        
15         0.2          0.15        
16         0.0          0.0         
17         0.4          0.15        
18         0.0          0.0         
19         1.0          0.3         
20         0.4          0.1         
21         0.2          0.05        
22         0.0          0.0         
23         0.0          0.0         
24         0.0          0.0         
25         0.8          0.45        
26         0.2          0.1         
27         0.8          0.35        
28         0.6          0.2         
29         0.6          0.5         
30         0.2          0.05        
31         0.0          0.1         
32         0.2          0.05        
33         0.0          0.0         
36         0.0          0.1         
37         0.0          0.05        
38         0.0          0.0         
39         0.0          0.1         
40         0.2          0.2         
42         0.0          0.0         
43         0.4          0.25        
44         0.4          0.1         
45         0.6          0.25        
48         0.0          0.0         
49         0.0          0.05        
57         0.2          0.05        
58         0.0          0.05        
59         0.0          0.05        
60         0.0          0.05        
61         0.4          0.25        
62         0.0          0.15        
63         0.2          0.3         
64         0.2          0.05        
