Precision at rank 5 and 20 for BM25 on noise-minimized queries:

Query_ID   Precision@05 Precision@20
1          0.4          0.1         
2          0.6          0.15        
3          0.0          0.0         
4          0.2          0.1         
5          0.2          0.15        
6          0.4          0.1         
7          0.6          0.5         
8          0.2          0.1         
9          0.4          0.15        
10         0.0          0.05        
11         0.6          0.4         
12         0.0          0.05        
13         0.2          0.1         
14         0.4          0.2         
15         0.2          0.15        
16         0.2          0.15        
17         0.4          0.3         
18         0.0          0.05        
19         0.4          0.3         
20         0.2          0.05        
21         0.0          0.15        
22         0.0          0.0         
23         0.6          0.2         
24         0.2          0.05        
25         0.8          0.45        
26         0.2          0.25        
27         0.8          0.35        
28         0.6          0.2         
29         0.6          0.5         
30         0.0          0.05        
31         0.2          0.1         
32         0.2          0.05        
33         0.0          0.0         
36         0.0          0.05        
37         0.2          0.25        
38         0.0          0.0         
39         0.4          0.3         
40         0.2          0.15        
42         0.0          0.15        
43         0.4          0.3         
44         0.4          0.1         
45         0.6          0.35        
48         0.0          0.1         
49         0.0          0.0         
57         0.2          0.05        
58         0.8          0.4         
59         0.2          0.2         
60         0.0          0.05        
61         0.4          0.3         
62         0.0          0.05        
63         0.2          0.15        
64         0.2          0.05        
