Precision at rank 5 and 20 for BM25:

Query_ID   Precision@05 Precision@20
1          0.4          0.1         
2          0.6          0.15        
3          0.0          0.0         
4          0.2          0.1         
5          0.2          0.1         
6          0.4          0.1         
7          0.6          0.25        
8          0.2          0.1         
9          0.4          0.15        
10         0.6          0.6         
11         0.6          0.4         
12         0.4          0.1         
13         0.6          0.2         
14         0.2          0.25        
15         0.2          0.15        
16         0.2          0.15        
17         0.6          0.2         
18         0.0          0.15        
19         1.0          0.3         
20         0.4          0.1         
21         0.0          0.1         
22         0.4          0.25        
23         0.6          0.2         
24         0.2          0.05        
25         0.8          0.45        
26         0.2          0.25        
27         0.8          0.35        
28         0.8          0.2         
29         0.4          0.5         
30         0.0          0.05        
31         0.2          0.1         
32         0.2          0.05        
33         0.0          0.0         
36         0.4          0.4         
37         0.2          0.25        
38         0.0          0.05        
39         0.4          0.3         
40         0.2          0.1         
42         0.0          0.15        
43         0.4          0.3         
44         0.4          0.1         
45         0.8          0.3         
48         0.2          0.05        
49         0.0          0.0         
57         0.2          0.05        
58         0.8          0.4         
59         0.2          0.2         
60         0.2          0.1         
61         0.8          0.5         
62         0.0          0.05        
63         1.0          0.45        
64         0.2          0.05        
