Precision at rank 5 and 20 for Lucene:

Query_ID   Precision@05 Precision@20
1          0.2          0.1         
2          0.6          0.15        
3          0.0          0.0         
4          0.4          0.1         
5          0.2          0.1         
6          0.4          0.1         
7          0.8          0.45        
8          0.4          0.1         
9          0.4          0.2         
10         0.6          0.7         
11         0.6          0.5         
12         0.4          0.1         
13         0.8          0.2         
14         0.4          0.15        
15         0.2          0.15        
16         0.2          0.15        
17         0.4          0.25        
18         0.2          0.15        
19         0.8          0.3         
20         0.6          0.15        
21         0.2          0.15        
22         0.8          0.65        
23         0.6          0.2         
24         0.2          0.05        
25         0.8          0.45        
26         0.2          0.25        
27         0.6          0.35        
28         0.8          0.2         
29         0.6          0.5         
30         0.2          0.05        
31         0.2          0.1         
32         0.2          0.1         
33         0.0          0.05        
36         0.4          0.5         
37         0.4          0.2         
38         0.2          0.2         
39         0.4          0.25        
40         0.4          0.3         
42         0.0          0.2         
43         0.2          0.3         
44         0.4          0.15        
45         0.8          0.3         
48         0.2          0.1         
49         0.0          0.1         
57         0.2          0.05        
58         0.4          0.4         
59         0.8          0.4         
60         0.2          0.2         
61         0.8          0.5         
62         0.0          0.0         
63         0.8          0.4         
64         0.2          0.05        
