Precision at rank 5 and 20 for Query_Expansion:

Query_ID   Precision@05 Precision@20
1          0.2          0.1         
2          0.6          0.15        
3          0.0          0.05        
4          0.0          0.1         
5          0.2          0.1         
6          0.4          0.1         
7          0.6          0.25        
8          0.2          0.1         
9          0.4          0.1         
10         0.6          0.5         
11         0.4          0.25        
12         0.4          0.2         
13         0.2          0.2         
14         0.2          0.15        
15         0.2          0.1         
16         0.2          0.1         
17         0.4          0.15        
18         0.0          0.1         
19         0.2          0.15        
20         0.4          0.1         
21         0.0          0.0         
22         0.2          0.1         
23         0.4          0.15        
24         0.0          0.0         
25         0.6          0.5         
26         0.0          0.15        
27         0.6          0.4         
28         0.8          0.2         
29         0.4          0.1         
30         0.0          0.0         
31         0.2          0.1         
32         0.2          0.05        
33         0.0          0.05        
36         0.4          0.3         
37         0.4          0.2         
38         0.6          0.4         
39         0.2          0.25        
40         0.2          0.15        
42         0.0          0.05        
43         0.0          0.25        
44         0.4          0.1         
45         0.2          0.25        
48         0.2          0.1         
49         0.0          0.0         
57         0.2          0.05        
58         0.6          0.3         
59         0.4          0.4         
60         0.4          0.25        
61         0.8          0.45        
62         0.0          0.0         
63         0.8          0.4         
64         0.2          0.05        
