Precision at rank 5 and 20 for SQ_Likelihood:

Query_ID   Precision@05 Precision@20
1          0.4          0.1         
2          0.6          0.15        
3          0.0          0.0         
4          0.2          0.1         
5          0.2          0.1         
6          0.2          0.1         
7          0.6          0.4         
8          0.4          0.1         
9          0.2          0.2         
10         0.6          0.5         
11         0.6          0.35        
12         0.4          0.1         
13         0.6          0.2         
14         0.0          0.1         
15         0.2          0.1         
16         0.4          0.15        
17         0.6          0.25        
18         0.0          0.1         
19         0.8          0.25        
20         0.4          0.1         
21         0.0          0.1         
22         0.2          0.1         
23         0.6          0.15        
24         0.2          0.1         
25         0.6          0.4         
26         0.4          0.3         
27         0.4          0.35        
28         0.6          0.2         
29         0.2          0.4         
30         0.2          0.05        
31         0.0          0.05        
32         0.2          0.05        
33         0.0          0.0         
36         0.4          0.5         
37         0.4          0.15        
38         0.2          0.1         
39         0.4          0.25        
40         0.4          0.3         
42         0.2          0.15        
43         0.0          0.3         
44         0.4          0.15        
45         0.8          0.3         
48         0.2          0.05        
49         0.2          0.1         
57         0.2          0.05        
58         0.4          0.35        
59         0.6          0.3         
60         0.2          0.05        
61         0.8          0.5         
62         0.0          0.0         
63         0.8          0.35        
64         0.2          0.05        
