Precision at rank 5 and 20 for SQ_Likelihood_Stopped:

Query_ID   Precision@05 Precision@20
1          0.4          0.1         
2          0.6          0.15        
3          0.0          0.0         
4          0.4          0.1         
5          0.4          0.1         
6          0.2          0.1         
7          0.8          0.45        
8          0.4          0.1         
9          0.4          0.2         
10         0.6          0.55        
11         0.4          0.4         
12         0.4          0.1         
13         0.4          0.2         
14         0.0          0.1         
15         0.4          0.15        
16         0.0          0.2         
17         0.6          0.2         
18         0.2          0.1         
19         0.8          0.3         
20         0.4          0.1         
21         0.0          0.2         
22         0.2          0.2         
23         0.6          0.15        
24         0.2          0.1         
25         0.6          0.35        
26         0.4          0.3         
27         0.4          0.3         
28         0.8          0.2         
29         0.2          0.4         
30         0.4          0.1         
31         0.2          0.05        
32         0.2          0.05        
33         0.0          0.05        
36         0.4          0.5         
37         0.4          0.25        
38         0.4          0.35        
39         0.4          0.25        
40         0.6          0.25        
42         0.0          0.1         
43         0.0          0.3         
44         0.4          0.15        
45         0.6          0.25        
48         0.2          0.05        
49         0.2          0.1         
57         0.2          0.05        
58         0.6          0.35        
59         0.4          0.35        
60         0.2          0.1         
61         0.8          0.5         
62         0.0          0.05        
63         0.8          0.4         
64         0.2          0.05        
