Precision at rank 5 and 20 for TF_IDF:

Query_ID   Precision@05 Precision@20
1          0.0          0.0         
2          0.0          0.0         
3          0.0          0.0         
4          0.2          0.05        
5          0.2          0.05        
6          0.0          0.0         
7          0.0          0.1         
8          0.0          0.05        
9          0.4          0.1         
10         0.2          0.3         
11         0.8          0.35        
12         0.2          0.05        
13         0.4          0.2         
14         0.0          0.05        
15         0.0          0.0         
16         0.0          0.05        
17         0.0          0.05        
18         0.0          0.05        
19         0.2          0.25        
20         0.0          0.0         
21         0.2          0.05        
22         0.0          0.0         
23         0.2          0.05        
24         0.2          0.05        
25         0.6          0.35        
26         0.0          0.05        
27         0.6          0.4         
28         0.0          0.05        
29         0.2          0.2         
30         0.0          0.0         
31         0.0          0.0         
32         0.2          0.05        
33         0.0          0.05        
36         0.4          0.2         
37         0.2          0.05        
38         0.0          0.0         
39         0.2          0.15        
40         0.0          0.15        
42         0.4          0.1         
43         0.0          0.0         
44         0.0          0.05        
45         0.0          0.1         
48         0.0          0.05        
49         0.0          0.0         
57         0.2          0.05        
58         0.4          0.1         
59         0.4          0.15        
60         0.2          0.1         
61         0.6          0.45        
62         0.0          0.0         
63         0.2          0.1         
64         0.0          0.0         
