Precision at rank 5 and 20 for TF_IDF_Stopped:

Query_ID   Precision@05 Precision@20
1          0.0          0.05        
2          0.2          0.15        
3          0.0          0.0         
4          0.4          0.1         
5          0.2          0.1         
6          0.4          0.15        
7          0.2          0.25        
8          0.2          0.05        
9          0.4          0.1         
10         0.2          0.4         
11         0.6          0.3         
12         0.2          0.05        
13         0.2          0.25        
14         0.2          0.2         
15         0.2          0.1         
16         0.2          0.1         
17         0.0          0.2         
18         0.0          0.05        
19         0.4          0.25        
20         0.0          0.1         
21         0.2          0.05        
22         0.0          0.0         
23         0.2          0.15        
24         0.2          0.05        
25         0.4          0.2         
26         0.0          0.05        
27         1.0          0.4         
28         0.6          0.2         
29         0.6          0.4         
30         0.0          0.0         
31         0.2          0.1         
32         0.2          0.05        
33         0.2          0.05        
36         0.6          0.3         
37         0.4          0.2         
38         1.0          0.45        
39         0.2          0.2         
40         0.4          0.15        
42         0.4          0.15        
43         0.0          0.0         
44         0.2          0.05        
45         0.2          0.05        
48         0.4          0.1         
49         0.0          0.0         
57         0.2          0.05        
58         0.6          0.25        
59         0.2          0.3         
60         0.2          0.1         
61         0.6          0.55        
62         0.0          0.1         
63         0.4          0.3         
64         0.0          0.05        
