Precision and Recall Values for every query in the BM25:

Query_ID   DOC_ID     Relevance  Rank  Precision  Recall    
1          CACM-2319  NR         1     0.0        0.0       
1          CACM-2379  NR         2     0.0        0.0       
1          CACM-1519  NR         3     0.0        0.0       
1          CACM-1410  R          4     0.25       0.2       
1          CACM-1605  R          5     0.4        0.4       
1          CACM-1523  NR         6     0.33       0.4       
1          CACM-1161  NR         7     0.29       0.4       
1          CACM-2380  NR         8     0.25       0.4       
1          CACM-1591  NR         9     0.22       0.4       
1          CACM-1033  NR         10    0.2        0.4       
1          CACM-1698  NR         11    0.18       0.4       
1          CACM-1749  NR         12    0.17       0.4       
1          CACM-1680  NR         13    0.15       0.4       
1          CACM-1506  NR         14    0.14       0.4       
1          CACM-1938  NR         15    0.13       0.4       
1          CACM-2632  NR         16    0.12       0.4       
1          CACM-2629  NR         17    0.12       0.4       
1          CACM-3127  NR         18    0.11       0.4       
1          CACM-1544  NR         19    0.11       0.4       
1          CACM-2371  NR         20    0.1        0.4       
1          CACM-2740  NR         21    0.1        0.4       
1          CACM-2541  NR         22    0.09       0.4       
1          CACM-3025  NR         23    0.09       0.4       
1          CACM-3048  NR         24    0.08       0.4       
1          CACM-1464  NR         25    0.08       0.4       
1          CACM-2357  NR         26    0.08       0.4       
1          CACM-1647  NR         27    0.07       0.4       
1          CACM-1264  NR         28    0.07       0.4       
1          CACM-0585  NR         29    0.07       0.4       
1          CACM-1168  NR         30    0.07       0.4       
1          CACM-2947  NR         31    0.06       0.4       
1          CACM-1750  NR         32    0.06       0.4       
1          CACM-1440  NR         33    0.06       0.4       
1          CACM-2054  NR         34    0.06       0.4       
1          CACM-2358  R          35    0.09       0.6       
1          CACM-1657  NR         36    0.08       0.6       
1          CACM-2317  NR         37    0.08       0.6       
1          CACM-1844  NR         38    0.08       0.6       
1          CACM-1542  NR         39    0.08       0.6       
1          CACM-1393  NR         40    0.07       0.6       
1          CACM-1827  NR         41    0.07       0.6       
1          CACM-3023  NR         42    0.07       0.6       
1          CACM-0414  NR         43    0.07       0.6       
1          CACM-1226  NR         44    0.07       0.6       
1          CACM-2424  NR         45    0.07       0.6       
1          CACM-1225  NR         46    0.07       0.6       
1          CACM-0637  NR         47    0.06       0.6       
1          CACM-2948  NR         48    0.06       0.6       
1          CACM-2535  NR         49    0.06       0.6       
1          CACM-0252  NR         50    0.06       0.6       
1          CACM-0698  NR         51    0.06       0.6       
1          CACM-1179  NR         52    0.06       0.6       
