Precision and Recall Values for every query in the BM25_Stopped:

Query_ID   DOC_ID     Relevance  Rank  Precision  Recall    
1          CACM-2319  NR         1     0.0        0.0       
1          CACM-1519  NR         2     0.0        0.0       
1          CACM-1410  R          3     0.33       0.2       
1          CACM-2380  NR         4     0.25       0.2       
1          CACM-1523  NR         5     0.2        0.2       
1          CACM-2379  NR         6     0.17       0.2       
1          CACM-1161  NR         7     0.14       0.2       
1          CACM-1605  R          8     0.25       0.4       
1          CACM-1591  NR         9     0.22       0.4       
1          CACM-3048  NR         10    0.2        0.4       
1          CACM-2629  NR         11    0.18       0.4       
1          CACM-1749  NR         12    0.17       0.4       
1          CACM-1680  NR         13    0.15       0.4       
1          CACM-1168  NR         14    0.14       0.4       
1          CACM-1506  NR         15    0.13       0.4       
1          CACM-3025  NR         16    0.12       0.4       
1          CACM-2371  NR         17    0.12       0.4       
1          CACM-2632  NR         18    0.11       0.4       
1          CACM-2317  NR         19    0.11       0.4       
1          CACM-1544  NR         20    0.1        0.4       
1          CACM-2740  NR         21    0.1        0.4       
1          CACM-3127  NR         22    0.09       0.4       
1          CACM-2358  R          23    0.13       0.6       
1          CACM-0585  NR         24    0.12       0.6       
1          CACM-1938  NR         25    0.12       0.6       
1          CACM-1440  NR         26    0.12       0.6       
1          CACM-2357  NR         27    0.11       0.6       
1          CACM-0971  NR         28    0.11       0.6       
1          CACM-1647  NR         29    0.1        0.6       
1          CACM-1844  NR         30    0.1        0.6       
1          CACM-1033  NR         31    0.1        0.6       
1          CACM-1046  NR         32    0.09       0.6       
1          CACM-1750  NR         33    0.09       0.6       
1          CACM-1236  NR         34    0.09       0.6       
1          CACM-1264  NR         35    0.09       0.6       
1          CACM-1315  NR         36    0.08       0.6       
1          CACM-1464  NR         37    0.08       0.6       
1          CACM-1179  NR         38    0.08       0.6       
1          CACM-1657  NR         39    0.08       0.6       
1          CACM-2868  NR         40    0.07       0.6       
1          CACM-2424  NR         41    0.07       0.6       
1          CACM-2219  NR         42    0.07       0.6       
1          CACM-1462  NR         43    0.07       0.6       
1          CACM-2947  NR         44    0.07       0.6       
1          CACM-0414  NR         45    0.07       0.6       
1          CACM-1542  NR         46    0.07       0.6       
1          CACM-1195  NR         47    0.06       0.6       
1          CACM-0252  NR         48    0.06       0.6       
1          CACM-1698  NR         49    0.06       0.6       
1          CACM-2920  NR         50    0.06       0.6       
1          CACM-1697  NR         51    0.06       0.6       
1          CACM-3023  NR         52    0.06       0.6       
1          CACM-1753  NR         53    0.06       0.6       
1          CACM-2054  NR         54    0.06       0.6       
1          CACM-2948  NR         55    0.05       0.6       
1          CACM-2535  NR         56    0.05       0.6       
1          CACM-1304  NR         57    0.05       0.6       
1          CACM-2597  NR         58    0.05       0.6       
1          CACM-1960  NR         59    0.05       0.6       
1          CACM-1534  NR         60    0.05       0.6       
1          CACM-2624  NR         61    0.05       0.6       
1          CACM-1225  NR         62    0.05       0.6       
1          CACM-0637  NR         63    0.05       0.6       
1          CACM-2951  NR         64    0.05       0.6       
1          CACM-1827  NR         65    0.05       0.6       
1          CACM-1685  NR         66    0.05       0.6       
1          CACM-2840  NR         67    0.04       0.6       
1          CACM-0098  NR         68    0.04       0.6       
1          CACM-1805  NR         69    0.04       0.6       
1          CACM-2372  NR         70    0.04       0.6       
1          CACM-2542  NR         71    0.04       0.6       
1          CACM-2796  NR         72    0.04       0.6       
1          CACM-3068  NR         73    0.04       0.6       
1          CACM-1472  NR         74    0.04       0.6       
1          CACM-1885  NR         75    0.04       0.6       
1          CACM-2541  NR         76    0.04       0.6       
1          CACM-1752  NR         77    0.04       0.6       
1          CACM-1173  NR         78    0.04       0.6       
1          CACM-2681  NR         79    0.04       0.6       
1          CACM-3137  NR         80    0.04       0.6       
1          CACM-1393  NR         81    0.04       0.6       
1          CACM-1226  NR         82    0.04       0.6       
1          CACM-1755  NR         83    0.04       0.6       
1          CACM-2878  NR         84    0.04       0.6       
1          CACM-2080  NR         85    0.04       0.6       
1          CACM-2622  NR         86    0.03       0.6       
1          CACM-1163  NR         87    0.03       0.6       
1          CACM-2378  NR         88    0.03       0.6       
1          CACM-1417  NR         89    0.03       0.6       
1          CACM-2917  NR         90    0.03       0.6       
1          CACM-2151  NR         91    0.03       0.6       
1          CACM-2188  NR         92    0.03       0.6       
1          CACM-0698  NR         93    0.03       0.6       
1          CACM-1034  NR         94    0.03       0.6       
