Precision and Recall Values for every query in the Lucene:

Query_ID   DOC_ID     Relevance  Rank  Precision  Recall    
1          CACM-2319  NR         1     0.0        0.0       
1          CACM-1657  NR         2     0.0        0.0       
1          CACM-2629  NR         3     0.0        0.0       
1          CACM-1938  NR         4     0.0        0.0       
1          CACM-1410  R          5     0.2        0.2       
1          CACM-2218  NR         6     0.17       0.2       
1          CACM-1827  NR         7     0.14       0.2       
1          CACM-1605  R          8     0.25       0.4       
1          CACM-2379  NR         9     0.22       0.4       
1          CACM-2378  NR         10    0.2        0.4       
1          CACM-2357  NR         11    0.18       0.4       
1          CACM-1698  NR         12    0.17       0.4       
1          CACM-1844  NR         13    0.15       0.4       
1          CACM-1161  NR         14    0.14       0.4       
1          CACM-2151  NR         15    0.13       0.4       
1          CACM-1519  NR         16    0.12       0.4       
1          CACM-2947  NR         17    0.12       0.4       
1          CACM-2219  NR         18    0.11       0.4       
1          CACM-1752  NR         19    0.11       0.4       
1          CACM-2371  NR         20    0.1        0.4       
1          CACM-2054  NR         21    0.1        0.4       
1          CACM-1033  NR         22    0.09       0.4       
1          CACM-1591  NR         23    0.09       0.4       
1          CACM-2424  NR         24    0.08       0.4       
1          CACM-1749  NR         25    0.08       0.4       
1          CACM-1523  NR         26    0.08       0.4       
1          CACM-2541  NR         27    0.07       0.4       
1          CACM-2535  NR         28    0.07       0.4       
1          CACM-3127  NR         29    0.07       0.4       
1          CACM-2950  NR         30    0.07       0.4       
1          CACM-2380  NR         31    0.06       0.4       
1          CACM-1506  NR         32    0.06       0.4       
1          CACM-2632  NR         33    0.06       0.4       
1          CACM-2500  NR         34    0.06       0.4       
1          CACM-1908  NR         35    0.06       0.4       
1          CACM-1071  NR         36    0.06       0.4       
1          CACM-2501  NR         37    0.05       0.4       
1          CACM-1464  NR         38    0.05       0.4       
1          CACM-1680  NR         39    0.05       0.4       
1          CACM-1572  R          40    0.07       0.6       
1          CACM-2344  NR         41    0.07       0.6       
1          CACM-2439  NR         42    0.07       0.6       
1          CACM-2920  NR         43    0.07       0.6       
1          CACM-3048  NR         44    0.07       0.6       
1          CACM-1391  NR         45    0.07       0.6       
1          CACM-1264  NR         46    0.07       0.6       
1          CACM-0971  NR         47    0.06       0.6       
1          CACM-1226  NR         48    0.06       0.6       
1          CACM-1393  NR         49    0.06       0.6       
1          CACM-1647  NR         50    0.06       0.6       
1          CACM-1750  NR         51    0.06       0.6       
1          CACM-1440  NR         52    0.06       0.6       
1          CACM-1805  NR         53    0.06       0.6       
1          CACM-3174  NR         54    0.06       0.6       
1          CACM-2948  NR         55    0.05       0.6       
1          CACM-1225  NR         56    0.05       0.6       
1          CACM-1487  NR         57    0.05       0.6       
1          CACM-1544  NR         58    0.05       0.6       
1          CACM-3025  NR         59    0.05       0.6       
1          CACM-0698  NR         60    0.05       0.6       
1          CACM-2522  NR         61    0.05       0.6       
1          CACM-2317  NR         62    0.05       0.6       
1          CACM-0637  NR         63    0.05       0.6       
1          CACM-2764  NR         64    0.05       0.6       
1          CACM-2946  NR         65    0.05       0.6       
1          CACM-1315  NR         66    0.05       0.6       
1          CACM-0585  NR         67    0.04       0.6       
1          CACM-2740  NR         68    0.04       0.6       
1          CACM-1542  NR         69    0.04       0.6       
1          CACM-1462  NR         70    0.04       0.6       
1          CACM-1685  NR         71    0.04       0.6       
1          CACM-3023  NR         72    0.04       0.6       
1          CACM-2358  R          73    0.05       0.8       
1          CACM-2003  NR         74    0.05       0.8       
1          CACM-3068  NR         75    0.05       0.8       
1          CACM-2951  NR         76    0.05       0.8       
1          CACM-1168  NR         77    0.05       0.8       
1          CACM-1960  NR         78    0.05       0.8       
1          CACM-1236  NR         79    0.05       0.8       
1          CACM-1885  NR         80    0.05       0.8       
1          CACM-1747  NR         81    0.05       0.8       
1          CACM-1753  NR         82    0.05       0.8       
1          CACM-2080  NR         83    0.05       0.8       
1          CACM-2036  NR         84    0.05       0.8       
1          CACM-1179  NR         85    0.05       0.8       
1          CACM-3069  NR         86    0.05       0.8       
1          CACM-1163  NR         87    0.05       0.8       
1          CACM-2398  NR         88    0.05       0.8       
1          CACM-0414  NR         89    0.04       0.8       
1          CACM-1854  NR         90    0.04       0.8       
1          CACM-2365  NR         91    0.04       0.8       
1          CACM-2841  NR         92    0.04       0.8       
1          CACM-3112  NR         93    0.04       0.8       
1          CACM-1173  NR         94    0.04       0.8       
1          CACM-1046  NR         95    0.04       0.8       
1          CACM-2597  NR         96    0.04       0.8       
1          CACM-2917  NR         97    0.04       0.8       
1          CACM-2838  NR         98    0.04       0.8       
1          CACM-2624  NR         99    0.04       0.8       
1          CACM-2621  NR         100   0.04       0.8       

2          CACM-3078  R          1     1.0        0.33      
2          CACM-2434  R          2     1.0        0.67      
2          CACM-2863  R          3     1.0        1.0       
2          CACM-3129  NR         4     0.75       1.0       
2          CACM-1379  NR         5     0.6        1.0       
2          CACM-1977  NR         6     0.5        1.0       
2          CACM-0497  NR         7     0.43       1.0       
2          CACM-3144  NR         8     0.38       1.0       
2          CACM-0727  NR         9     0.33       1.0       
2          CACM-2786  NR         10    0.3        1.0       
2          CACM-1519  NR         11    0.27       1.0       
2          CACM-1364  NR         12    0.25       1.0       
2          CACM-1264  NR         13    0.23       1.0       
2          CACM-3202  NR         14    0.21       1.0       
2          CACM-1012  NR         15    0.2        1.0       
2          CACM-1046  NR         16    0.19       1.0       
2          CACM-2534  NR         17    0.18       1.0       
2          CACM-1931  NR         18    0.17       1.0       
2          CACM-2177  NR         19    0.16       1.0       
2          CACM-0335  NR         20    0.15       1.0       
2          CACM-1010  NR         21    0.14       1.0       
2          CACM-2439  NR         22    0.14       1.0       
2          CACM-2194  NR         23    0.13       1.0       
2          CACM-1674  NR         24    0.12       1.0       
2          CACM-0282  NR         25    0.12       1.0       
2          CACM-1272  NR         26    0.12       1.0       
2          CACM-1062  NR         27    0.11       1.0       
2          CACM-3171  NR         28    0.11       1.0       
2          CACM-2939  NR         29    0.1        1.0       
2          CACM-1861  NR         30    0.1        1.0       
2          CACM-1652  NR         31    0.1        1.0       
2          CACM-0616  NR         32    0.09       1.0       
2          CACM-2572  NR         33    0.09       1.0       
2          CACM-1593  NR         34    0.09       1.0       
2          CACM-2215  NR         35    0.09       1.0       
2          CACM-1315  NR         36    0.08       1.0       
2          CACM-1553  NR         37    0.08       1.0       
2          CACM-1975  NR         38    0.08       1.0       
2          CACM-2971  NR         39    0.08       1.0       
2          CACM-1764  NR         40    0.07       1.0       
2          CACM-3117  NR         41    0.07       1.0       
2          CACM-2250  NR         42    0.07       1.0       
2          CACM-1867  NR         43    0.07       1.0       
2          CACM-2342  NR         44    0.07       1.0       
2          CACM-2039  NR         45    0.07       1.0       
2          CACM-2905  NR         46    0.07       1.0       
2          CACM-2852  NR         47    0.06       1.0       
2          CACM-1588  NR         48    0.06       1.0       
2          CACM-1877  NR         49    0.06       1.0       
2          CACM-1334  NR         50    0.06       1.0       
2          CACM-1154  NR         51    0.06       1.0       
2          CACM-0242  NR         52    0.06       1.0       
2          CACM-1259  NR         53    0.06       1.0       
2          CACM-2047  NR         54    0.06       1.0       
2          CACM-3059  NR         55    0.05       1.0       
2          CACM-2002  NR         56    0.05       1.0       
2          CACM-1397  NR         57    0.05       1.0       
2          CACM-1542  NR         58    0.05       1.0       
2          CACM-2714  NR         59    0.05       1.0       
2          CACM-2771  NR         60    0.05       1.0       
2          CACM-2980  NR         61    0.05       1.0       
2          CACM-1486  NR         62    0.05       1.0       
2          CACM-1464  NR         63    0.05       1.0       
2          CACM-1343  NR         64    0.05       1.0       
2          CACM-3072  NR         65    0.05       1.0       
2          CACM-2900  NR         66    0.05       1.0       
2          CACM-2486  NR         67    0.04       1.0       
2          CACM-2924  NR         68    0.04       1.0       
2          CACM-0531  NR         69    0.04       1.0       
2          CACM-1846  NR         70    0.04       1.0       
2          CACM-0626  NR         71    0.04       1.0       
2          CACM-2304  NR         72    0.04       1.0       
2          CACM-2451  NR         73    0.04       1.0       
2          CACM-1166  NR         74    0.04       1.0       
2          CACM-2519  NR         75    0.04       1.0       
2          CACM-1574  NR         76    0.04       1.0       
2          CACM-1705  NR         77    0.04       1.0       
2          CACM-1309  NR         78    0.04       1.0       
2          CACM-1638  NR         79    0.04       1.0       
2          CACM-2368  NR         80    0.04       1.0       
2          CACM-0047  NR         81    0.04       1.0       
2          CACM-1930  NR         82    0.04       1.0       
2          CACM-1924  NR         83    0.04       1.0       
2          CACM-1564  NR         84    0.04       1.0       
2          CACM-2899  NR         85    0.04       1.0       
2          CACM-0397  NR         86    0.03       1.0       
2          CACM-2219  NR         87    0.03       1.0       
2          CACM-1183  NR         88    0.03       1.0       
2          CACM-3201  NR         89    0.03       1.0       
2          CACM-1214  NR         90    0.03       1.0       
2          CACM-2352  NR         91    0.03       1.0       
2          CACM-1527  NR         92    0.03       1.0       
2          CACM-1634  NR         93    0.03       1.0       
2          CACM-3199  NR         94    0.03       1.0       
2          CACM-3136  NR         95    0.03       1.0       
2          CACM-1569  NR         96    0.03       1.0       
2          CACM-1886  NR         97    0.03       1.0       
2          CACM-1651  NR         98    0.03       1.0       
2          CACM-3057  NR         99    0.03       1.0       
2          CACM-1523  NR         100   0.03       1.0       

3          CACM-1988  NR         1     0.0        0.0       
3          CACM-2112  NR         2     0.0        0.0       
3          CACM-2061  NR         3     0.0        0.0       
3          CACM-2411  NR         4     0.0        0.0       
3          CACM-1496  NR         5     0.0        0.0       
3          CACM-0205  NR         6     0.0        0.0       
3          CACM-0265  NR         7     0.0        0.0       
3          CACM-1154  NR         8     0.0        0.0       
3          CACM-2939  NR         9     0.0        0.0       
3          CACM-1723  NR         10    0.0        0.0       
3          CACM-2921  NR         11    0.0        0.0       
3          CACM-0252  NR         12    0.0        0.0       
3          CACM-1304  NR         13    0.0        0.0       
3          CACM-0799  NR         14    0.0        0.0       
3          CACM-2886  NR         15    0.0        0.0       
3          CACM-2579  NR         16    0.0        0.0       
3          CACM-0637  NR         17    0.0        0.0       
3          CACM-1386  NR         18    0.0        0.0       
3          CACM-2666  NR         19    0.0        0.0       
3          CACM-1787  NR         20    0.0        0.0       
3          CACM-3115  NR         21    0.0        0.0       
3          CACM-1387  NR         22    0.0        0.0       
3          CACM-3102  NR         23    0.0        0.0       
3          CACM-3099  NR         24    0.0        0.0       
3          CACM-1788  NR         25    0.0        0.0       
3          CACM-3030  NR         26    0.0        0.0       
3          CACM-3144  NR         27    0.0        0.0       
3          CACM-2867  NR         28    0.0        0.0       
3          CACM-0661  NR         29    0.0        0.0       
3          CACM-1134  R          30    0.03       0.17      
3          CACM-1565  NR         31    0.03       0.17      
3          CACM-3093  NR         32    0.03       0.17      
3          CACM-1533  NR         33    0.03       0.17      
3          CACM-2684  NR         34    0.03       0.17      
3          CACM-1852  NR         35    0.03       0.17      
3          CACM-2732  NR         36    0.03       0.17      
3          CACM-1223  NR         37    0.03       0.17      
3          CACM-1807  R          38    0.05       0.33      
3          CACM-1457  NR         39    0.05       0.33      
3          CACM-0303  NR         40    0.05       0.33      
3          CACM-2254  NR         41    0.05       0.33      
3          CACM-1835  NR         42    0.05       0.33      
3          CACM-3130  NR         43    0.05       0.33      
3          CACM-3171  NR         44    0.05       0.33      
3          CACM-1976  NR         45    0.04       0.33      
3          CACM-2603  NR         46    0.04       0.33      
