Precision and Recall Values for every query in the Query_Expansion:

Query_ID   DOC_ID     Relevance  Rank  Precision  Recall    
1          CACM-1161  NR         1     0.0        0.0       
1          CACM-2319  NR         2     0.0        0.0       
1          CACM-2380  NR         3     0.0        0.0       
1          CACM-1605  R          4     0.25       0.2       
1          CACM-2379  NR         5     0.2        0.2       
1          CACM-1844  NR         6     0.17       0.2       
1          CACM-3127  NR         7     0.14       0.2       
1          CACM-1680  NR         8     0.12       0.2       
1          CACM-1591  NR         9     0.11       0.2       
1          CACM-1410  R          10    0.2        0.4       
1          CACM-1657  NR         11    0.18       0.4       
1          CACM-0414  NR         12    0.17       0.4       
1          CACM-1506  NR         13    0.15       0.4       
1          CACM-1519  NR         14    0.14       0.4       
1          CACM-2357  NR         15    0.13       0.4       
1          CACM-2920  NR         16    0.12       0.4       
1          CACM-2740  NR         17    0.12       0.4       
1          CACM-1827  NR         18    0.11       0.4       
1          CACM-3048  NR         19    0.11       0.4       
1          CACM-0585  NR         20    0.1        0.4       
1          CACM-1749  NR         21    0.1        0.4       
1          CACM-1264  NR         22    0.09       0.4       
1          CACM-1033  NR         23    0.09       0.4       
1          CACM-2947  NR         24    0.08       0.4       
1          CACM-2378  NR         25    0.08       0.4       
1          CACM-1523  NR         26    0.08       0.4       
1          CACM-1168  NR         27    0.07       0.4       
1          CACM-2629  NR         28    0.07       0.4       
1          CACM-2951  NR         29    0.07       0.4       
1          CACM-1315  NR         30    0.07       0.4       
1          CACM-2358  R          31    0.1        0.6       
1          CACM-2946  NR         32    0.09       0.6       
1          CACM-2297  NR         33    0.09       0.6       
1          CACM-2317  NR         34    0.09       0.6       
1          CACM-3023  NR         35    0.09       0.6       
1          CACM-1647  NR         36    0.08       0.6       
1          CACM-2948  NR         37    0.08       0.6       
1          CACM-2632  NR         38    0.08       0.6       
1          CACM-2424  NR         39    0.08       0.6       
1          CACM-1805  NR         40    0.07       0.6       
1          CACM-2624  NR         41    0.07       0.6       
1          CACM-1665  NR         42    0.07       0.6       
1          CACM-0637  NR         43    0.07       0.6       
1          CACM-3025  NR         44    0.07       0.6       
1          CACM-2054  NR         45    0.07       0.6       
1          CACM-1747  NR         46    0.07       0.6       
1          CACM-1518  NR         47    0.06       0.6       
1          CACM-0971  NR         48    0.06       0.6       
1          CACM-1464  NR         49    0.06       0.6       
1          CACM-1750  NR         50    0.06       0.6       
1          CACM-2017  NR         51    0.06       0.6       
1          CACM-1829  NR         52    0.06       0.6       
1          CACM-1544  NR         53    0.06       0.6       
1          CACM-2500  NR         54    0.06       0.6       
1          CACM-1542  NR         55    0.05       0.6       
1          CACM-2812  NR         56    0.05       0.6       
1          CACM-2542  NR         57    0.05       0.6       
1          CACM-2622  NR         58    0.05       0.6       
1          CACM-2219  NR         59    0.05       0.6       
1          CACM-1938  NR         60    0.05       0.6       
1          CACM-2840  NR         61    0.05       0.6       
1          CACM-2950  NR         62    0.05       0.6       
1          CACM-3147  NR         63    0.05       0.6       
1          CACM-1195  NR         64    0.05       0.6       
1          CACM-1308  NR         65    0.05       0.6       
1          CACM-1236  NR         66    0.05       0.6       
1          CACM-2597  NR         67    0.04       0.6       
1          CACM-2989  NR         68    0.04       0.6       
1          CACM-2371  NR         69    0.04       0.6       
1          CACM-3068  NR         70    0.04       0.6       
1          CACM-1179  NR         71    0.04       0.6       
1          CACM-1752  NR         72    0.04       0.6       
1          CACM-0854  NR         73    0.04       0.6       
1          CACM-3112  NR         74    0.04       0.6       
1          CACM-1698  NR         75    0.04       0.6       
1          CACM-1685  NR         76    0.04       0.6       
1          CACM-2080  NR         77    0.04       0.6       
1          CACM-1960  NR         78    0.04       0.6       
1          CACM-2955  NR         79    0.04       0.6       
1          CACM-2151  NR         80    0.04       0.6       
1          CACM-1408  NR         81    0.04       0.6       
1          CACM-0972  NR         82    0.04       0.6       
1          CACM-2188  NR         83    0.04       0.6       
1          CACM-1226  NR         84    0.04       0.6       
1          CACM-1046  NR         85    0.04       0.6       
1          CACM-2928  NR         86    0.03       0.6       
1          CACM-1393  NR         87    0.03       0.6       
1          CACM-1811  NR         88    0.03       0.6       
1          CACM-1697  NR         89    0.03       0.6       
1          CACM-2535  NR         90    0.03       0.6       
1          CACM-1341  NR         91    0.03       0.6       
1          CACM-3137  NR         92    0.03       0.6       
1          CACM-0046  NR         93    0.03       0.6       
1          CACM-1307  NR         94    0.03       0.6       
1          CACM-2541  NR         95    0.03       0.6       
1          CACM-1885  NR         96    0.03       0.6       
1          CACM-0252  NR         97    0.03       0.6       
1          CACM-2868  NR         98    0.03       0.6       
1          CACM-2894  NR         99    0.03       0.6       
1          CACM-2984  NR         100   0.03       0.6       

2          CACM-1867  NR         1     0.0        0.0       
2          CACM-2863  R          2     0.5        0.33      
2          CACM-3078  R          3     0.67       0.67      
2          CACM-2434  R          4     0.75       1.0       
2          CACM-1638  NR         5     0.6        1.0       
2          CACM-2216  NR         6     0.5        1.0       
2          CACM-1725  NR         7     0.43       1.0       
2          CACM-2176  NR         8     0.38       1.0       
2          CACM-1117  NR         9     0.33       1.0       
2          CACM-1741  NR         10    0.3        1.0       
2          CACM-1433  NR         11    0.27       1.0       
2          CACM-1933  NR         12    0.25       1.0       
2          CACM-2901  NR         13    0.23       1.0       
2          CACM-0865  NR         14    0.21       1.0       
2          CACM-0533  NR         15    0.2        1.0       
2          CACM-2015  NR         16    0.19       1.0       
2          CACM-2798  NR         17    0.18       1.0       
2          CACM-2272  NR         18    0.17       1.0       
2          CACM-1154  NR         19    0.16       1.0       
2          CACM-1924  NR         20    0.15       1.0       
2          CACM-3075  NR         21    0.14       1.0       
2          CACM-2261  NR         22    0.14       1.0       
2          CACM-2208  NR         23    0.13       1.0       
2          CACM-1728  NR         24    0.12       1.0       
2          CACM-1717  NR         25    0.12       1.0       
2          CACM-2017  NR         26    0.12       1.0       
2          CACM-2388  NR         27    0.11       1.0       
2          CACM-2916  NR         28    0.11       1.0       
2          CACM-0531  NR         29    0.1        1.0       
2          CACM-1930  NR         30    0.1        1.0       
2          CACM-3152  NR         31    0.1        1.0       
2          CACM-2858  NR         32    0.09       1.0       
2          CACM-2481  NR         33    0.09       1.0       
2          CACM-0851  NR         34    0.09       1.0       
2          CACM-1856  NR         35    0.09       1.0       
2          CACM-0855  NR         36    0.08       1.0       
2          CACM-1046  NR         37    0.08       1.0       
2          CACM-2175  NR         38    0.08       1.0       
2          CACM-1641  NR         39    0.08       1.0       
2          CACM-2249  NR         40    0.07       1.0       
2          CACM-1825  NR         41    0.07       1.0       
2          CACM-3153  NR         42    0.07       1.0       
2          CACM-0856  NR         43    0.07       1.0       
2          CACM-1890  NR         44    0.07       1.0       
2          CACM-2297  NR         45    0.07       1.0       
2          CACM-2559  NR         46    0.07       1.0       
2          CACM-2902  NR         47    0.06       1.0       
2          CACM-2195  NR         48    0.06       1.0       
2          CACM-1874  NR         49    0.06       1.0       
2          CACM-2146  NR         50    0.06       1.0       
2          CACM-1936  NR         51    0.06       1.0       
2          CACM-2184  NR         52    0.06       1.0       
2          CACM-1768  NR         53    0.06       1.0       
2          CACM-1956  NR         54    0.06       1.0       
2          CACM-2669  NR         55    0.05       1.0       
2          CACM-1705  NR         56    0.05       1.0       
2          CACM-2162  NR         57    0.05       1.0       
2          CACM-3097  NR         58    0.05       1.0       
2          CACM-3131  NR         59    0.05       1.0       
2          CACM-2947  NR         60    0.05       1.0       
