
Results for Query: what articles exist which deal with tss (time sharing system), an operating system for ibm computers?
 cacm december march 1978 program problem machines part

Query Q0  Doc_ID     Rank  Score      System Name
    1 Q0  CACM-1161  1     21.617     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-2319  2     16.75      Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-2380  3     14.981     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-1605  4     14.781     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-2379  5     14.47      Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-1844  6     14.395     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-3127  7     13.324     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-1680  8     13.154     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-1591  9     13.135     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-1410  10    13.026     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-1657  11    12.571     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-0414  12    12.458     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-1506  13    12.451     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-1519  14    12.406     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-2357  15    12.254     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-2920  16    12.139     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-2740  17    11.988     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-1827  18    11.784     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-3048  19    11.526     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-0585  20    11.027     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-1749  21    10.68      Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-1264  22    10.652     Query_Expansion_using_Psuedo_Relevance_Feedback
    1 Q0  CACM-1033  23    10.637     Query_Expansion_using_Psuedo_Relevance_Feedback
