
Results for Query: articles exist deal tss time sharing system operating system ibm computers


Query Q0  Doc_ID     Rank  Score      System Name
    1 Q0  CACM-2319  1     23.879     BM25_with_Stopped_terms
    1 Q0  CACM-1519  2     20.671     BM25_with_Stopped_terms
    1 Q0  CACM-1410  3     19.607     BM25_with_Stopped_terms
    1 Q0  CACM-2380  4     19.078     BM25_with_Stopped_terms
    1 Q0  CACM-1523  5     19.028     BM25_with_Stopped_terms
    1 Q0  CACM-2379  6     18.941     BM25_with_Stopped_terms
    1 Q0  CACM-1161  7     18.704     BM25_with_Stopped_terms
    1 Q0  CACM-1605  8     18.144     BM25_with_Stopped_terms
    1 Q0  CACM-1591  9     18.103     BM25_with_Stopped_terms
    1 Q0  CACM-3048  10    18.007     BM25_with_Stopped_terms
    1 Q0  CACM-2629  11    17.892     BM25_with_Stopped_terms
    1 Q0  CACM-1749  12    17.88      BM25_with_Stopped_terms
    1 Q0  CACM-1680  13    17.822     BM25_with_Stopped_terms
    1 Q0  CACM-1168  14    17.477     BM25_with_Stopped_terms
    1 Q0  CACM-1506  15    17.434     BM25_with_Stopped_terms
    1 Q0  CACM-3025  16    17.264     BM25_with_Stopped_terms
    1 Q0  CACM-2371  17    16.966     BM25_with_Stopped_terms
    1 Q0  CACM-2632  18    16.669     BM25_with_Stopped_terms
    1 Q0  CACM-2317  19    16.544     BM25_with_Stopped_terms
    1 Q0  CACM-1544  20    16.448     BM25_with_Stopped_terms
    1 Q0  CACM-2740  21    16.332     BM25_with_Stopped_terms
    1 Q0  CACM-3127  22    16.174     BM25_with_Stopped_terms
    1 Q0  CACM-2358  23    16.058     BM25_with_Stopped_terms
    1 Q0  CACM-0585  24    15.954     BM25_with_Stopped_terms
    1 Q0  CACM-1938  25    15.931     BM25_with_Stopped_terms
    1 Q0  CACM-1440  26    15.735     BM25_with_Stopped_terms
    1 Q0  CACM-2357  27    15.626     BM25_with_Stopped_terms
    1 Q0  CACM-0971  28    15.606     BM25_with_Stopped_terms
    1 Q0  CACM-1647  29    15.596     BM25_with_Stopped_terms
    1 Q0  CACM-1844  30    15.525     BM25_with_Stopped_terms
    1 Q0  CACM-1033  31    15.523     BM25_with_Stopped_terms
    1 Q0  CACM-1046  32    15.076     BM25_with_Stopped_terms
    1 Q0  CACM-1750  33    15.051     BM25_with_Stopped_terms
    1 Q0  CACM-1236  34    14.988     BM25_with_Stopped_terms
    1 Q0  CACM-1264  35    14.972     BM25_with_Stopped_terms
    1 Q0  CACM-1315  36    14.9       BM25_with_Stopped_terms
    1 Q0  CACM-1464  37    14.683     BM25_with_Stopped_terms
    1 Q0  CACM-1179  38    14.668     BM25_with_Stopped_terms
    1 Q0  CACM-1657  39    14.52      BM25_with_Stopped_terms
    1 Q0  CACM-2868  40    14.425     BM25_with_Stopped_terms
    1 Q0  CACM-2424  41    14.407     BM25_with_Stopped_terms
    1 Q0  CACM-2219  42    14.208     BM25_with_Stopped_terms
    1 Q0  CACM-1462  43    14.202     BM25_with_Stopped_terms
    1 Q0  CACM-2947  44    14.165     BM25_with_Stopped_terms
    1 Q0  CACM-0414  45    14.111     BM25_with_Stopped_terms
    1 Q0  CACM-1542  46    14.07      BM25_with_Stopped_terms
    1 Q0  CACM-1195  47    14.07      BM25_with_Stopped_terms
    1 Q0  CACM-0252  48    14.025     BM25_with_Stopped_terms
    1 Q0  CACM-1698  49    13.916     BM25_with_Stopped_terms
    1 Q0  CACM-2920  50    13.909     BM25_with_Stopped_terms
    1 Q0  CACM-1697  51    13.903     BM25_with_Stopped_terms
    1 Q0  CACM-3023  52    13.901     BM25_with_Stopped_terms
    1 Q0  CACM-1753  53    13.889     BM25_with_Stopped_terms
    1 Q0  CACM-2054  54    13.821     BM25_with_Stopped_terms
