
Results for Query: what articles exist which deal with tss (time sharing system), an operating system for ibm computers?


Query Q0  Doc_ID     Rank  Score      System Name
    1 Q0  CACM-2319  1     25.361     BM25_with_1Grams
    1 Q0  CACM-2379  2     22.164     BM25_with_1Grams
    1 Q0  CACM-1519  3     21.725     BM25_with_1Grams
    1 Q0  CACM-1410  4     20.455     BM25_with_1Grams
    1 Q0  CACM-1605  5     20.378     BM25_with_1Grams
    1 Q0  CACM-1523  6     20.317     BM25_with_1Grams
    1 Q0  CACM-1161  7     20.253     BM25_with_1Grams
    1 Q0  CACM-2380  8     20.213     BM25_with_1Grams
    1 Q0  CACM-1591  9     19.694     BM25_with_1Grams
    1 Q0  CACM-1033  10    19.654     BM25_with_1Grams
    1 Q0  CACM-1698  11    19.369     BM25_with_1Grams
    1 Q0  CACM-1749  12    19.044     BM25_with_1Grams
    1 Q0  CACM-1680  13    18.753     BM25_with_1Grams
    1 Q0  CACM-1506  14    18.706     BM25_with_1Grams
    1 Q0  CACM-1938  15    18.507     BM25_with_1Grams
    1 Q0  CACM-2632  16    18.47      BM25_with_1Grams
    1 Q0  CACM-2629  17    18.409     BM25_with_1Grams
    1 Q0  CACM-3127  18    18.34      BM25_with_1Grams
    1 Q0  CACM-1544  19    18.322     BM25_with_1Grams
    1 Q0  CACM-2371  20    17.908     BM25_with_1Grams
    1 Q0  CACM-2740  21    17.706     BM25_with_1Grams
    1 Q0  CACM-2541  22    17.704     BM25_with_1Grams
    1 Q0  CACM-3025  23    17.677     BM25_with_1Grams
    1 Q0  CACM-3048  24    17.655     BM25_with_1Grams
    1 Q0  CACM-1464  25    17.544     BM25_with_1Grams
    1 Q0  CACM-2357  26    17.533     BM25_with_1Grams
    1 Q0  CACM-1647  27    17.426     BM25_with_1Grams
    1 Q0  CACM-1264  28    17.364     BM25_with_1Grams
    1 Q0  CACM-0585  29    17.361     BM25_with_1Grams
    1 Q0  CACM-1168  30    17.321     BM25_with_1Grams
    1 Q0  CACM-2947  31    17.164     BM25_with_1Grams
    1 Q0  CACM-1750  32    17.123     BM25_with_1Grams
    1 Q0  CACM-1440  33    17.122     BM25_with_1Grams
    1 Q0  CACM-2054  34    16.815     BM25_with_1Grams
    1 Q0  CACM-2358  35    16.766     BM25_with_1Grams
    1 Q0  CACM-1657  36    16.654     BM25_with_1Grams
    1 Q0  CACM-2317  37    16.612     BM25_with_1Grams
    1 Q0  CACM-1844  38    16.525     BM25_with_1Grams
    1 Q0  CACM-1542  39    16.503     BM25_with_1Grams
    1 Q0  CACM-1393  40    16.499     BM25_with_1Grams
    1 Q0  CACM-1827  41    16.428     BM25_with_1Grams
    1 Q0  CACM-3023  42    16.107     BM25_with_1Grams
    1 Q0  CACM-0414  43    16.031     BM25_with_1Grams
    1 Q0  CACM-1226  44    15.938     BM25_with_1Grams
    1 Q0  CACM-2424  45    15.92      BM25_with_1Grams
    1 Q0  CACM-1225  46    15.829     BM25_with_1Grams
    1 Q0  CACM-0637  47    15.606     BM25_with_1Grams
    1 Q0  CACM-2948  48    15.598     BM25_with_1Grams
    1 Q0  CACM-2535  49    15.593     BM25_with_1Grams
    1 Q0  CACM-0252  50    15.585     BM25_with_1Grams
    1 Q0  CACM-0698  51    15.551     BM25_with_1Grams
    1 Q0  CACM-1179  52    15.475     BM25_with_1Grams
