
Results for Query: what articles exist which deal with tss (time sharing system), an operating system for ibm computers?


Query Q0  Doc_ID     Rank  Score      System Name
    1 Q0  CACM-2319  1     -110.974   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1410  2     -113.41    Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1605  3     -115.38    Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-2379  4     -116.598   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1033  5     -116.742   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1519  6     -116.92    Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1506  7     -116.946   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1161  8     -117.152   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1698  9     -117.293   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1523  10    -117.896   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-2947  11    -118.015   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1591  12    -118.244   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-2054  13    -118.653   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-2632  14    -118.665   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1938  15    -119.074   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1749  16    -119.252   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1544  17    -119.485   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-0585  18    -119.502   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-2380  19    -119.538   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-2946  20    -119.562   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1393  21    -119.57    Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1225  22    -119.785   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-2541  23    -119.818   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-3069  24    -119.828   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1464  25    -119.942   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1226  26    -120.017   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-2950  27    -120.114   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-0698  28    -120.121   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-0397  29    -120.169   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-2357  30    -120.422   Smoothed_Query_Likelihood_Model_with_1Grams
    1 Q0  CACM-1685  31    -120.543   Smoothed_Query_Likelihood_Model_with_1Grams
