
Results for Query: articles exist deal tss time sharing system operating system ibm computers


Query Q0  Doc_ID     Rank  Score      System Name
    1 Q0  CACM-2319  1     -75.466    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1410  2     -77.578    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1519  3     -80.251    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1605  4     -81.436    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1506  5     -81.857    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1161  6     -81.93     Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2379  7     -82.482    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-3025  8     -82.679    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1523  9     -82.71     Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1168  10    -82.805    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1749  11    -82.836    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2380  12    -83.149    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2317  13    -83.208    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1591  14    -83.376    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-0585  15    -83.506    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-3048  16    -83.573    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2629  17    -83.63     Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1680  18    -83.837    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2632  19    -84.015    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1544  20    -84.187    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1046  21    -84.276    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2947  22    -84.336    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1315  23    -84.436    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-0971  24    -84.465    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1462  25    -84.475    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1938  26    -84.59     Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2054  27    -84.731    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1844  28    -84.731    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-3069  29    -84.739    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2358  30    -84.755    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1033  31    -84.863    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1805  32    -84.867    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1572  33    -84.899    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1647  34    -84.972    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1408  35    -85.003    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2371  36    -85.036    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1236  37    -85.23     Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-3127  38    -85.266    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1685  39    -85.368    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2621  40    -85.445    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2740  41    -85.533    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1854  42    -85.535    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1753  43    -85.535    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1750  44    -85.597    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1179  45    -85.661    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2357  46    -85.783    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1464  47    -85.787    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2951  48    -85.886    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1440  49    -85.91     Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2624  50    -86.077    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1697  51    -86.088    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1698  52    -86.157    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1225  53    -86.164    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-0397  54    -86.21     Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1264  55    -86.219    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2946  56    -86.307    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-0698  57    -86.483    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-0637  58    -86.549    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1341  59    -86.587    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-0098  60    -86.628    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2424  61    -86.635    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1526  62    -86.653    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2950  63    -86.712    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2219  64    -86.715    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1657  65    -86.77     Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2151  66    -86.827    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2796  67    -86.848    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-0414  68    -86.855    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2372  69    -86.881    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2535  70    -86.957    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-0103  71    -87.1      Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1960  72    -87.124    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1755  73    -87.183    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1304  74    -87.191    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1195  75    -87.193    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1747  76    -87.213    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1542  77    -87.234    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-0252  78    -87.242    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1827  79    -87.264    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2917  80    -87.302    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-3023  81    -87.314    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2868  82    -87.346    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2948  83    -87.421    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2920  84    -87.729    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1163  85    -87.749    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1069  86    -87.754    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1417  87    -87.815    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1885  88    -87.849    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2597  89    -87.874    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1534  90    -87.902    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-0615  91    -87.914    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1393  92    -87.945    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1472  93    -87.992    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-3068  94    -88.049    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2840  95    -88.104    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-0271  96    -88.112    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1113  97    -88.119    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-1226  98    -88.149    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2542  99    -88.15     Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    1 Q0  CACM-2313  100   -88.191    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams

Results for Query: interested articles written prieve udo pooch prieve pooch


Query Q0  Doc_ID     Rank  Score      System Name
    2 Q0  CACM-3078  1     -65.832    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    2 Q0  CACM-2434  2     -66.321    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    2 Q0  CACM-2863  3     -67.015    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    2 Q0  CACM-1046  4     -74.406    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    2 Q0  CACM-0397  5     -74.776    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    2 Q0  CACM-1014  6     -75.479    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    2 Q0  CACM-0492  7     -75.538    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    2 Q0  CACM-1867  8     -75.647    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    2 Q0  CACM-0435  9     -75.73     Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    2 Q0  CACM-1623  10    -75.835    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    2 Q0  CACM-1397  11    -76.005    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
    2 Q0  CACM-0531  12    -76.276    Smoothed_Query_Likelihood_Model_Stopped_with_1Grams
