
Query Number 1

Query Q0  Doc_ID     Rank  Score      System Name
    1 Q0  CACM-2319  1     0.449      TFIDF_Stopped_1Grams
    1 Q0  CACM-1591  2     0.445      TFIDF_Stopped_1Grams
    1 Q0  CACM-1519  3     0.442      TFIDF_Stopped_1Grams
    1 Q0  CACM-2379  4     0.433      TFIDF_Stopped_1Grams
    1 Q0  CACM-2629  5     0.42       TFIDF_Stopped_1Grams
    1 Q0  CACM-1523  6     0.42       TFIDF_Stopped_1Grams
    1 Q0  CACM-1680  7     0.398      TFIDF_Stopped_1Grams
    1 Q0  CACM-2380  8     0.393      TFIDF_Stopped_1Grams
    1 Q0  CACM-1544  9     0.384      TFIDF_Stopped_1Grams
    1 Q0  CACM-1749  10    0.374      TFIDF_Stopped_1Grams
    1 Q0  CACM-1033  11    0.364      TFIDF_Stopped_1Grams
    1 Q0  CACM-1605  12    0.349      TFIDF_Stopped_1Grams
    1 Q0  CACM-1264  13    0.346      TFIDF_Stopped_1Grams
    1 Q0  CACM-2740  14    0.343      TFIDF_Stopped_1Grams
    1 Q0  CACM-2948  15    0.339      TFIDF_Stopped_1Grams
    1 Q0  CACM-1657  16    0.335      TFIDF_Stopped_1Grams
    1 Q0  CACM-2542  17    0.335      TFIDF_Stopped_1Grams
    1 Q0  CACM-1161  18    0.332      TFIDF_Stopped_1Grams
    1 Q0  CACM-2371  19    0.331      TFIDF_Stopped_1Grams
    1 Q0  CACM-2984  20    0.317      TFIDF_Stopped_1Grams
    1 Q0  CACM-3048  21    0.317      TFIDF_Stopped_1Grams
    1 Q0  CACM-1173  22    0.307      TFIDF_Stopped_1Grams
    1 Q0  CACM-1304  23    0.303      TFIDF_Stopped_1Grams
    1 Q0  CACM-1571  24    0.301      TFIDF_Stopped_1Grams
    1 Q0  CACM-3127  25    0.299      TFIDF_Stopped_1Grams
    1 Q0  CACM-2357  26    0.298      TFIDF_Stopped_1Grams
    1 Q0  CACM-2868  27    0.292      TFIDF_Stopped_1Grams
    1 Q0  CACM-2632  28    0.292      TFIDF_Stopped_1Grams
    1 Q0  CACM-3012  29    0.292      TFIDF_Stopped_1Grams
    1 Q0  CACM-0585  30    0.289      TFIDF_Stopped_1Grams
    1 Q0  CACM-2188  31    0.286      TFIDF_Stopped_1Grams
    1 Q0  CACM-2560  32    0.285      TFIDF_Stopped_1Grams
    1 Q0  CACM-1827  33    0.284      TFIDF_Stopped_1Grams
    1 Q0  CACM-1719  34    0.284      TFIDF_Stopped_1Grams
    1 Q0  CACM-1440  35    0.283      TFIDF_Stopped_1Grams
    1 Q0  CACM-1885  36    0.282      TFIDF_Stopped_1Grams
    1 Q0  CACM-1506  37    0.282      TFIDF_Stopped_1Grams
    1 Q0  CACM-1518  38    0.28       TFIDF_Stopped_1Grams
    1 Q0  CACM-1179  39    0.276      TFIDF_Stopped_1Grams
    1 Q0  CACM-1542  40    0.275      TFIDF_Stopped_1Grams
    1 Q0  CACM-1844  41    0.274      TFIDF_Stopped_1Grams
    1 Q0  CACM-3025  42    0.274      TFIDF_Stopped_1Grams
    1 Q0  CACM-1534  43    0.273      TFIDF_Stopped_1Grams
    1 Q0  CACM-1482  44    0.273      TFIDF_Stopped_1Grams
    1 Q0  CACM-0252  45    0.271      TFIDF_Stopped_1Grams
    1 Q0  CACM-2955  46    0.271      TFIDF_Stopped_1Grams
    1 Q0  CACM-1168  47    0.27       TFIDF_Stopped_1Grams
    1 Q0  CACM-2920  48    0.267      TFIDF_Stopped_1Grams
    1 Q0  CACM-3087  49    0.266      TFIDF_Stopped_1Grams
    1 Q0  CACM-3023  50    0.264      TFIDF_Stopped_1Grams
    1 Q0  CACM-1195  51    0.263      TFIDF_Stopped_1Grams
    1 Q0  CACM-1960  52    0.26       TFIDF_Stopped_1Grams
    1 Q0  CACM-2541  53    0.26       TFIDF_Stopped_1Grams
    1 Q0  CACM-2878  54    0.256      TFIDF_Stopped_1Grams
    1 Q0  CACM-0202  55    0.256      TFIDF_Stopped_1Grams
    1 Q0  CACM-2597  56    0.256      TFIDF_Stopped_1Grams
    1 Q0  CACM-1034  57    0.256      TFIDF_Stopped_1Grams
    1 Q0  CACM-1238  58    0.255      TFIDF_Stopped_1Grams
    1 Q0  CACM-2317  59    0.255      TFIDF_Stopped_1Grams
    1 Q0  CACM-1938  60    0.255      TFIDF_Stopped_1Grams
