
Query Number 1

Query Q0  Doc_ID     Rank  Score      System Name
    1 Q0  CACM-1523  1     0.349      TFIDF_1Grams
    1 Q0  CACM-1033  2     0.342      TFIDF_1Grams
    1 Q0  CACM-2319  3     0.338      TFIDF_1Grams
    1 Q0  CACM-2380  4     0.314      TFIDF_1Grams
    1 Q0  CACM-1264  5     0.31       TFIDF_1Grams
    1 Q0  CACM-1591  6     0.303      TFIDF_1Grams
    1 Q0  CACM-1393  7     0.294      TFIDF_1Grams
    1 Q0  CACM-2379  8     0.291      TFIDF_1Grams
    1 Q0  CACM-1304  9     0.286      TFIDF_1Grams
    1 Q0  CACM-1440  10    0.283      TFIDF_1Grams
    1 Q0  CACM-2629  11    0.274      TFIDF_1Grams
    1 Q0  CACM-2357  12    0.272      TFIDF_1Grams
    1 Q0  CACM-1657  13    0.271      TFIDF_1Grams
    1 Q0  CACM-1544  14    0.27       TFIDF_1Grams
    1 Q0  CACM-1749  15    0.268      TFIDF_1Grams
    1 Q0  CACM-1519  16    0.265      TFIDF_1Grams
    1 Q0  CACM-2984  17    0.261      TFIDF_1Grams
    1 Q0  CACM-1626  18    0.259      TFIDF_1Grams
    1 Q0  CACM-2747  19    0.257      TFIDF_1Grams
    1 Q0  CACM-2542  20    0.255      TFIDF_1Grams
    1 Q0  CACM-2371  21    0.253      TFIDF_1Grams
    1 Q0  CACM-3127  22    0.251      TFIDF_1Grams
    1 Q0  CACM-2126  23    0.248      TFIDF_1Grams
    1 Q0  CACM-3087  24    0.248      TFIDF_1Grams
    1 Q0  CACM-2948  25    0.247      TFIDF_1Grams
    1 Q0  CACM-1938  26    0.244      TFIDF_1Grams
    1 Q0  CACM-1605  27    0.243      TFIDF_1Grams
    1 Q0  CACM-2955  28    0.242      TFIDF_1Grams
    1 Q0  CACM-1827  29    0.242      TFIDF_1Grams
    1 Q0  CACM-1680  30    0.241      TFIDF_1Grams
    1 Q0  CACM-1226  31    0.239      TFIDF_1Grams
    1 Q0  CACM-1506  32    0.235      TFIDF_1Grams
    1 Q0  CACM-2560  33    0.232      TFIDF_1Grams
    1 Q0  CACM-2153  34    0.232      TFIDF_1Grams
    1 Q0  CACM-1161  35    0.23       TFIDF_1Grams
    1 Q0  CACM-1542  36    0.227      TFIDF_1Grams
    1 Q0  CACM-2740  37    0.227      TFIDF_1Grams
    1 Q0  CACM-1179  38    0.225      TFIDF_1Grams
    1 Q0  CACM-2398  39    0.222      TFIDF_1Grams
    1 Q0  CACM-1247  40    0.219      TFIDF_1Grams
    1 Q0  CACM-1719  41    0.218      TFIDF_1Grams
    1 Q0  CACM-3068  42    0.218      TFIDF_1Grams
    1 Q0  CACM-0202  43    0.216      TFIDF_1Grams
    1 Q0  CACM-1571  44    0.212      TFIDF_1Grams
    1 Q0  CACM-1173  45    0.212      TFIDF_1Grams
    1 Q0  CACM-2917  46    0.212      TFIDF_1Grams
    1 Q0  CACM-1464  47    0.211      TFIDF_1Grams
    1 Q0  CACM-3023  48    0.21       TFIDF_1Grams
    1 Q0  CACM-2188  49    0.21       TFIDF_1Grams
    1 Q0  CACM-1885  50    0.206      TFIDF_1Grams
    1 Q0  CACM-1482  51    0.206      TFIDF_1Grams
    1 Q0  CACM-2681  52    0.206      TFIDF_1Grams
    1 Q0  CACM-0275  53    0.206      TFIDF_1Grams
    1 Q0  CACM-2796  54    0.206      TFIDF_1Grams
    1 Q0  CACM-1315  55    0.205      TFIDF_1Grams
    1 Q0  CACM-1195  56    0.203      TFIDF_1Grams
    1 Q0  CACM-1937  57    0.201      TFIDF_1Grams
    1 Q0  CACM-2764  58    0.2        TFIDF_1Grams
    1 Q0  CACM-3012  59    0.2        TFIDF_1Grams
    1 Q0  CACM-2087  60    0.199      TFIDF_1Grams
    1 Q0  CACM-1589  61    0.198      TFIDF_1Grams
    1 Q0  CACM-1505  62    0.198      TFIDF_1Grams
    1 Q0  CACM-1502  63    0.197      TFIDF_1Grams
